This is the complete list of games supported by PinMAME 3.6.0.1223 [MAME 0.76] (Jan 24 2025).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Drakor                           |  Yes  |  Yes  | Yes(2)|  Yes  | drakor   |
| Dungeons & Dragons               |  Yes  |  Yes  |  Yes  |  Yes  | dungdrag |
| Earth, Wind & Fire (alternate sou|  Yes  |  Yes  | Yes(2)|  Yes  | ewfa     |
| Earth, Wind & Fire (Free Play)   |  Yes  |  Yes  |  Yes  |  Yes  | ewff     |
| Earth, Wind & Fire               |  Yes  |  Yes  |  Yes  |  Yes  | ewf      |
| Earthshaker (LA-3)               |  Yes  |  Yes  | Yes(2)|  Yes  | esha_la3 |
| Earthshaker (PA-4 Prototype)     |  Yes  |  Yes  | Yes(2)|  Yes  | esha_pa4 |
| Earthshaker (PA-1 Prototype)     |  Yes  |  Yes  | Yes(2)|  Yes  | esha_pa1 |
| Earthshaker (LA-4C Competition MO|  Yes  |  Yes  | Yes(2)|  Yes  | esha_l4c |
| Earthshaker (LA-3 Metallica MOD) |  Yes  |  Yes  | Yes(2)|  Yes  | esha_ma3 |
| Earthshaker (LG-2 German)        |  Yes  |  Yes  | Yes(2)|  Yes  | esha_lg2 |
| Earthshaker (LG-1 German)        |  Yes  |  Yes  | Yes(2)|  Yes  | esha_lg1 |
| Earthshaker (LA-1)               |  Yes  |  Yes  | Yes(2)|  Yes  | esha_la1 |
| Earthshaker (PR-4 Family version)|  Yes  |  Yes  | Yes(2)|  Yes  | esha_pr4 |
| Eclipse (7-digit conversion)     |  Yes  |  Yes  | Yes(2)|  Yes  | eclipse7 |
| Eclipse                          |  Yes  |  Yes  | Yes(2)|  Yes  | eclipse  |
| Eight Ball (Old/Tilt Bug)        |  Yes  |  Yes  |  Yes  |  Yes  | eightblo |
| Eight Ball (Free Play)           |  Yes  |  Yes  |  Yes  |  Yes  | eightblb |
| Eight Ball (Free Play+)          |  Yes  |  Yes  |  Yes  |  Yes  | eightblc |
| Eight Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | eightbll |
| Eight Ball Champ                 |  Yes  |  Yes  |  Yes  |  Yes  | eballchp |
| Eight Ball Champ (Cheap Squeek)  |  Yes  |  Yes  |  Yes  |  Yes  | eballch2 |
| Eight Ball Champ (Maibesa)       |  Yes  |  Yes  |Partial|  Yes  | ebalchmb |
| Eight Ball Deluxe (Prototype rev.|  Yes  |  Yes  |  Yes  |  Yes  | eballdp4 |
| Eight Ball Deluxe (Prototype rev.|  Yes  |  Yes  |  Yes  |  Yes  | eballdp3 |
| Eight Ball Deluxe (Prototype rev.|  Yes  |  Yes  |  Yes  |  Yes  | eballdp2 |
| Eight Ball Deluxe (Prototype rev.|  Yes  |  Yes  |  Yes  |  Yes  | eballdp1 |
| Eight Ball Deluxe (rev. 14)      |  Yes  |  Yes  |  Yes  |  Yes  | eballd14 |
| Eight Ball Deluxe (rev. 15)      |  Yes  |  Yes  |  Yes  |  Yes  | eballdlx |
| Eight Ball Deluxe (P2/4 Bonus Bug|  Yes  |  Yes  |  Yes  |  Yes  | eballdld |
| Eight Ball Deluxe (modified rules|  Yes  |  Yes  |  Yes  |  Yes  | eballdlc |
| Eight Ball Deluxe (modified rules|  Yes  |  Yes  |  Yes  |  Yes  | eballdlb |
| Eight Ball Deluxe (Free Play)    |  Yes  |  Yes  |  Yes  |  Yes  | eballdla |
| El Dorado City of Gold           |  Yes  |  Yes  | Yes(2)|  Yes  | eldorado |
| Elektra (Free Play)              |  Yes  |  Yes  |  Yes  |  Yes  | elektraa |
| Elektra                          |  Yes  |  Yes  |  Yes  |  Yes  | elektra  |
| Elvira and the Party Monsters (LG|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_4g |
| Elvira and the Party Monsters (LG|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_3g |
| Elvira and the Party Monsters (LU|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_4u |
| Elvira and the Party Monsters (LA|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_l4 |
| Elvira and the Party Monsters (LA|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_l2 |
| Elvira and the Party Monsters (LA|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_l1 |
| Elvira and the Party Monsters (LF|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_f1 |
| Elvira and the Party Monsters (PA|  Yes  |  Yes  | Yes(2)|  Yes  | eatpm_p7 |
| Elvis (1.00)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv100   |
| Elvis (3.02 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elv302i  |
| Elvis (3.02 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elv302f  |
| Elvis (3.02 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elv302l  |
| Elvis (3.02 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elv302g  |
| Elvis (3.02)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv302   |
| Elvis (3.03 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elv303i  |
| Elvis (3.03 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elv303f  |
| Elvis (3.03 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elv303l  |
| Elvis (3.03 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elv303g  |
| Elvis (5.00 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elvisg   |
| Elvis (3.03)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv303   |
| Elvis (4.00 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elv400i  |
| Elvis (4.00 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elv400f  |
| Elvis (5.00 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elvisl   |
| Elvis (4.00 Spanish)             |  Yes  |  Yes  |  Yes  |  Yes  | elv400l  |
| Elvis (4.00 German)              |  Yes  |  Yes  |  Yes  |  Yes  | elv400g  |
| Elvis (5.00 French)              |  Yes  |  Yes  |  Yes  |  Yes  | elvisf   |
| Elvis (5.00 Italian)             |  Yes  |  Yes  |  Yes  |  Yes  | elvisi   |
| Elvis (4.00)                     |  Yes  |  Yes  |  Yes  |  Yes  | elv400   |
| Elvis (5.00)                     |  Yes  |  Yes  |  Yes  |  Yes  | elvis    |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryond |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryone |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryonc |
| Embryon (7-digit conversion rev. |  Yes  |  Yes  |  Yes  |  Yes  | embryonb |
| Embryon (Free Play)              |  Yes  |  Yes  |  Yes  |  Yes  | embryona |
| Embryon                          |  Yes  |  Yes  |  Yes  |  Yes  | embryon  |
| Empire Strikes Back, The         |  Yes  |  Yes  |  Yes  |  Yes  | empsback |
| Eros One                         |  Yes  |  Yes  |  Yes  |  Yes  | erosone  |
| Escape                           |  Yes  |  Yes  |  Yes  |  Yes  | escape   |
| Escape from the Lost World       |  Yes  |  Yes  |  Yes  |  Yes  | esclwrld |
| Escape from the Lost World (Germa|  Yes  |  Yes  |  Yes  |  Yes  | esclwrlg |
| Evel Knievel                     |  Yes  |  Yes  |  Yes  |  Yes  | evelknie |
| Evel Knievel (Free Play+)        |  Yes  |  Yes  |  Yes  |  Yes  | evelknic |
| Evel Knievel (Free Play)         |  Yes  |  Yes  |  Yes  |  Yes  | evelknib |
| Evil Fight                       |  Yes  |  Yes  |  Yes  |  Yes  | evlfight |
| Excalibur (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | excalibr |
| Excalibur (German Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | excalgfp |
| Excalibur (German)               |  Yes  |  Yes  | Yes(2)|  Yes  | excalibg |
| Excalibur                        |  Yes  |  Yes  | Yes(2)|  Yes  | excaliba |
| Excalibur (French Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | excalffp |
| Excalibur (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | excalbfp |
| F-14 Tomcat (L-1)                |  Yes  |  Yes  | Yes(2)|  Yes  | f14_l1   |
| F-14 Tomcat (P-4 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | f14_p4   |
| F-14 Tomcat (P-3 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | f14_p3   |
| F-14 Tomcat (P-5 Prototype)      |  Yes  |  Yes  | Yes(2)|  Yes  | f14_p5   |
| F1 Grand Prix                    |  Yes  |  Yes  |  Yes  |  Yes  | f1gp     |
| FJ Holden                        |  Yes  |  Yes  |  Yes  |  Yes  | fjholden |
| Faeton (7 digits)                |  Yes  |  Yes  |  Yes  |  Yes  | faeton   |
| Faeton (6 digits)                |  Yes  |  Yes  |  Yes  |  Yes  | faeton6d |
| Family Fun!                      |  Yes  |  Yes  | Yes(2)|  Yes  | famlyfun |
| Family Guy (V10.00 English, Germa|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000ag |
| Family Guy (V2.00 English)       |  Yes  |  Yes  |  Yes  |  Yes  | fg_200a  |
| Family Guy (V10.00 English, Frenc|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000af |
| Family Guy (V8.00 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_800al |
| Family Guy (V11.0 English, Italia|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100ai |
| Family Guy (V10.00 English, Spani|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000al |
| Family Guy (V11.0 English, German|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100ag |
| Family Guy (V4.00 English, German|  Yes  |  Yes  |  Yes  |  Yes  | fg_400ag |
| Family Guy (V12.0 English, Italia|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200ai |
| Family Guy (V12.0 English, German|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200ag |
| Family Guy (V11.0 English, French|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100af |
| Family Guy (V10.00 English, Itali|  Yes  |  Yes  |  Yes  |  Yes  | fg_1000ai |
| Family Guy (V12.0 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200al |
| Family Guy (V4.00 English)       |  Yes  |  Yes  |  Yes  |  Yes  | fg_400a  |
| Family Guy (V7.00 English, French|  Yes  |  Yes  |  Yes  |  Yes  | fg_700af |
| Family Guy (V11.0 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_1100al |
| Family Guy (V3.00 English, Italia|  Yes  |  Yes  |  Yes  |  Yes  | fg_300ai |
| Family Guy (V7.00 English, Spanis|  Yes  |  Yes  |  Yes  |  Yes  | fg_700al |
| Family Guy (V12.0 English, French|  Yes  |  Yes  |  Yes  |  Yes  | fg_1200af |
| Farfalla (alternate)             |  Yes  |  Yes  |  Yes  |  Yes  | farfallaa |
| Farfalla (alternate, German Speec|  Yes  |  Yes  |  Yes  |  Yes  | farfallga |
| Farfalla (Italian Speech)        |  Yes  |  Yes  |  Yes  |  Yes  | farfalli |
| Farfalla (alternate, French Speec|  Yes  |  Yes  |  Yes  |  Yes  | farfallfa |
| Farfalla                         |  Yes  |  Yes  |  Yes  |  Yes  | farfalla |
| Farfalla (Free Play)             |  Yes  |  Yes  |  Yes  |  Yes  | farffp   |
| Farfalla (Italian Speech, Free Pl|  Yes  |  Yes  |  Yes  |  Yes  | farfifp  |
| Farfalla (French Speech, Free Pla|  Yes  |  Yes  |  Yes  |  Yes  | farfffp  |
| Farfalla (alternate, Italian Spee|  Yes  |  Yes  |  Yes  |  Yes  | farfallia |
| Farfalla (German Speech, Free Pla|  Yes  |  Yes  |  Yes  |  Yes  | farfgfp  |
| Farfalla (French Speech)         |  Yes  |  Yes  |  Yes  |  Yes  | farfallf |
| Farfalla (German Speech)         |  Yes  |  Yes  |  Yes  |  Yes  | farfallg |
| Fathom (modified rules rev. 5)   |  Yes  |  Yes  |  Yes  |  Yes  | fathomb  |
| Fathom (Free Play)               |  Yes  |  Yes  |  Yes  |  Yes  | fathoma  |
| Fathom                           |  Yes  |  Yes  |  Yes  |  Yes  | fathom   |
| Fire Action                      |  Yes  |  Yes  | Yes(2)|  Yes  | fireact  |
| Fire Action Deluxe               |  Yes  |  Yes  | Yes(2)|  Yes  | fireactd |
| Fire Mountain                    |  Yes  |  Yes  |Partial|  Yes  | firemntn |
| Fire Mountain (Free Play)        |  Yes  |  Yes  |Partial|  Yes  | firemntnf |
| Fire! (L-3)                      |  Yes  |  Yes  | Yes(2)|  Yes  | fire_l3  |
| Fire! (L-2)                      |  Yes  |  Yes  | Yes(2)|  Yes  | fire_l2  |
| Fireball Classic                 |  Yes  |  Yes  |  Yes  |  Yes  | fbclass  |
| Fireball Classic (Free Play)     |  Yes  |  Yes  |  Yes  |  Yes  | fbclassa |
| Fireball II (Free Play)          |  Yes  |  Yes  |  Yes  |  Yes  | fball_ia |
| Fireball II                      |  Yes  |  Yes  |  Yes  |  Yes  | fball_ii |
| Firepower (Sys.7/6-digit /10 Scor|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_e7 |
| Firepower (Sys.7/6-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_a7 |
| Firepower (Sys.7/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_b7 |
| Firepower (Sys.7/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_d7 |
| Firepower (Sys.7/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_c7 |
| Firepower (L-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_l2 |
| Firepower (L-2 Free Play Fix)    |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_l2ff |
| Firepower (Sys.6/6-digit /10 Scor|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_d6 |
| Firepower (Sys.6/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_c6 |
| Firepower (Sys.6/7-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_b6 |
| Firepower (L-6)                  |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_l6 |
| Firepower (L-6 Free Play Fix)    |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_l6ff |
| Firepower (T-6 Ted Estes)        |  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_t6 |
| Firepower (T-6 Ted Estes Free Pla|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_t6ff |
| Firepower (Sys.6/6-digit conversi|  Yes  |  Yes  | Yes(2)|  Yes  | frpwr_a6 |
| Firepower II (L-2)               |  Yes  |  Yes  | Yes(2)|  Yes  | fpwr2_l2 |
| Fish Tales (D-5 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | ft_d5    |
| Fish Tales (P-2 Prototype)       |  Yes  |  Yes  | Yes(2)|  Yes  | ft_p2    |
| Fish Tales (L-5 Text size patch) |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l5p   |
| Fish Tales (L-4)                 |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l4    |
| Fish Tales (D-6 Text size patch L|  Yes  |  Yes  | Yes(2)|  Yes  | ft_d6    |
| Fish Tales (L-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l3    |
| Fish Tales (P-5 LED Ghost Fix)   |  Yes  |  Yes  | Yes(2)|  Yes  | ft_p5    |
| Fish Tales (P-4 Prototype)       |  Yes  |  Yes  | Yes(2)|  Yes  | ft_p4    |
| Fish Tales (L-5)                 |  Yes  |  Yes  | Yes(2)|  Yes  | ft_l5    |
| Flame of Athens                  |  Yes  |  Yes  |  Yes  |  Yes  | foathens |
| Flash (Sys.6 L-1 Free Play Fix)  |  Yes  |  Yes  | Yes(2)|  Yes  | flash_l1ff |
| Flash (Sys.6 T-1 Ted Estes, Free |  Yes  |  Yes  | Yes(2)|  Yes  | flash_t1ff |
| Flash (Sys.4 L-2)                |  Yes  |  Yes  | Yes(2)|  Yes  | flash_l2 |
| Flash (Sys.6 T-1 Ted Estes)      |  Yes  |  Yes  | Yes(2)|  Yes  | flash_t1 |
| Flash (Sys.6 L-1)                |  Yes  |  Yes  | Yes(2)|  Yes  | flash_l1 |
| Flash Dragon                     |  Yes  |  Yes  |  Yes  |  Yes  | fldragon |
| Flash Gordon (French Vocalizer So|  Yes  |  Yes  |  Yes  |  Yes  | flashgvffp |
| Flash Gordon (French Free Play)  |  Yes  |  Yes  |  Yes  |  Yes  | flashgfa |
| Flash Gordon (French Vocalizer So|  Yes  |  Yes  |  Yes  |  Yes  | flashgvf |
| Flash Gordon (French)            |  Yes  |  Yes  |  Yes  |  Yes  | flashgdf |
| Flash Gordon (Vocalizer Sound)   |  Yes  |  Yes  |  Yes  |  Yes  | flashgdv |
| Flash Gordon (Prototype rev. 2)  |  Yes  |  Yes  |  Yes  |  Yes  | flashgp2 |
| Flash Gordon (Prototype rev. 1)  |  Yes  |  Yes  |  Yes  |  Yes  | flashgdp |
| Flash Gordon                     |  Yes  |  Yes  |  Yes  |  Yes  | flashgdn |
| Flash Gordon (Vocalizer Sound Fre|  Yes  |  Yes  |  Yes  |  Yes  | flashgva |
| Flash Gordon (Free Play)         |  Yes  |  Yes  |  Yes  |  Yes  | flashgda |
| Flashman                         |  Yes  |  Yes  |  Yes  |  Yes  | flashman |
| Flicker (Prototype)              |  Yes  |  Yes  |  Yes  |  Yes  | flicker  |
| Flight 2000 (modified rules & sou|  Yes  |  Yes  | Yes(2)|  Yes  | flight2mb |
| Flight 2000 (Free Play)          |  Yes  |  Yes  | Yes(2)|  Yes  | flightfp |
| Flight 2000                      |  Yes  |  Yes  | Yes(2)|  Yes  | flight2k |
| Flight 2000 (modified rules rev. |  Yes  |  Yes  | Yes(2)|  Yes  | flight2m |
| Flintstones, The (LX-3)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx3   |
| Flintstones, The (LA-5)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_la5   |
| Flintstones, The (LX-5)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx5   |
| Flintstones, The (DX-5 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | fs_dx5   |
| Flintstones, The (DX-5, SP-2 LED |  Yes  |  Yes  | Yes(2)|  Yes  | fs_sp2d  |
| Flintstones, The (LX-5, SP-2)    |  Yes  |  Yes  | Yes(2)|  Yes  | fs_sp2   |
| Flintstones, The (DX-4 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | fs_dx4   |
| Flintstones, The (LX-4)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx4   |
| Flintstones, The (LX-2)          |  Yes  |  Yes  | Yes(2)|  Yes  | fs_lx2   |
| Flintstones, The (DX-2 LED Ghost |  Yes  |  Yes  | Yes(2)|  Yes  | fs_dx2   |
| Flipper Football (1.01)          |  Yes  |  Yes  |  Yes  |  Yes  | ffv101   |
| Flipper Football (1.04)          |  Yes  |  Yes  |  Yes  |  Yes  | ffv104   |
| Flipper Football (1.03)          |  Yes  |  Yes  |  Yes  |  Yes  | ffv103   |
| Football                         |  Yes  |  Yes  | Yes(2)|  Yes  | football |
| Force (with Ekky sound module)   |  Yes  |  Yes  |  Yes  |  Yes  | force_ekky |
| Force                            |  Yes  |  Yes  |   No  |  Yes  | force    |
| Force II                         |  Yes  |  Yes  | Yes(2)|  Yes  | forceii  |
| Force II (7-digit conversion)    |  Yes  |  Yes  | Yes(2)|  Yes  | forceii7 |
| Formula 1                        |  Yes  |  Yes  |  Yes  |  Yes  | formula1 |
| Foxy Lady                        |  Yes  |  Yes  |  Yes  |  Yes  | foxylady |
| Frankenstein, Mary Shelley's (Ita|  Yes  |  Yes  |  Yes  |  Yes  | franksti |
| Frankenstein, Mary Shelley's (Ger|  Yes  |  Yes  |  Yes  |  Yes  | frankstg |
| Frankenstein, Mary Shelley's     |  Yes  |  Yes  |  Yes  |  Yes  | frankst  |
| Freddy: A Nightmare on Elm Street|  Yes  |  Yes  | Yes(2)|  Yes  | freddy4  |
| Freddy: A Nightmare on Elm Street|  Yes  |  Yes  | Yes(2)|  Yes  | freddy   |
| Free Fall                        |  Yes  |  Yes  | Yes(2)|  Yes  | freefall |
| Free Fall (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | freefafp |
| Freedom                          |  Yes  |  Yes  |  Yes  |  Yes  | freedom  |
| Freedom (Free Play+ rev. 07)     |  Yes  |  Yes  |  Yes  |  Yes  | freedoma |
| Freedom (Free Play+ rev. 20)     |  Yes  |  Yes  |  Yes  |  Yes  | freedomb |
| Frontier (Gate Fix)              |  Yes  |  Yes  |  Yes  |  Yes  | frontieg |
| Frontier                         |  Yes  |  Yes  |  Yes  |  Yes  | frontier |
| Frontier (Free Play)             |  Yes  |  Yes  |  Yes  |  Yes  | frontiea |
| Funhouse (L-4)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l4    |
| Funhouse (D-3 LED Ghost Fix)     |  Yes  |  Yes  | Yes(2)|  Yes  | fh_d3    |
| Funhouse (L-3)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l3    |
| Funhouse (L-2)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l2    |
| Funhouse (L-9, SL-3)             |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l9    |
| Funhouse (FreeWPC 0.91)          |  Yes  |  Yes  | Yes(2)|  Yes  | fh_f91   |
| Funhouse (D-4 LED Ghost Fix)     |  Yes  |  Yes  | Yes(2)|  Yes  | fh_d4    |
| Funhouse (L-5)                   |  Yes  |  Yes  | Yes(2)|  Yes  | fh_l5    |
| Funhouse (9.06H Coin Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | fh_906h  |
| Funhouse (9.05H)                 |  Yes  |  Yes  | Yes(2)|  Yes  | fh_905h  |
| Funhouse (D-9, SL-3 German LED Gh|  Yes  |  Yes  | Yes(2)|  Yes  | fh_d9b   |
| Funhouse (L-9, SL-3 Improved Germ|  Yes  |  Yes  | Yes(2)|  Yes  | fh_l9b   |
| Funhouse (D-9, SL-3 LED Ghost Fix|  Yes  |  Yes  | Yes(2)|  Yes  | fh_d9    |
| Funhouse (D-5 LED Ghost Fix)     |  Yes  |  Yes  | Yes(2)|  Yes  | fh_d5    |
| Funhouse (L-2, Prototype PA-1 sys|  Yes  |  Yes  | Yes(2)|  Yes  | fh_pa1   |
| Future Queen                     |  Yes  |  Yes  |  Yes  |  Yes  | futrquen |
| Future Spa (7-digit conversion)  |  Yes  |  Yes  |  Yes  |  Yes  | futurspb |
| Future Spa                       |  Yes  |  Yes  |  Yes  |  Yes  | futurspa |
| Future World                     |  Yes  |  Yes  |  Yes  |  Yes  | futurwld |
| Future World (Free Play)         |  Yes  |  Yes  |  Yes  |  Yes  | futurwldf |
| Galaxy (7-digit conversion)      |  Yes  |  Yes  | Yes(2)|  Yes  | galaxyb  |
| Galaxy (Free Play)               |  Yes  |  Yes  | Yes(2)|  Yes  | galaxyfp |
| Galaxy (Planet Skillshot)        |  Yes  |  Yes  | Yes(2)|  Yes  | galaxyps |
| Galaxy                           |  Yes  |  Yes  | Yes(2)|  Yes  | galaxy   |
| Galaxy (7-Digit conversion, Fixes|  Yes  |  Yes  | Yes(2)|  Yes  | galaxyc  |
| Galaxy Play                      |  Yes  |  Yes  |  Yes  |  Yes  | glxplay  |
| Galaxy Play 2                    |  Yes  |  Yes  |  Yes  |  Yes  | glxplay2 |
| Gamatron (Sonic)                 |  Yes  |  Yes  |  Yes  |  Yes  | gamatros |
| Gamatron                         |  Yes  |  Yes  | Yes(2)|  Yes  | gamatron |
| Game Show (LA-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | gs_la3   |
| Game Show (LU-3 Europe)          |  Yes  |  Yes  | Yes(2)|  Yes  | gs_lu3   |
| Game Show (LU-4 Europe)          |  Yes  |  Yes  | Yes(2)|  Yes  | gs_lu4   |
| Game Show (LG-6 German)          |  Yes  |  Yes  | Yes(2)|  Yes  | gs_lg6   |
| Games, The (rev. 1)              |  Yes  |  Yes  | Yes(2)|  Yes  | thegamsb |
| Games, The                       |  Yes  |  Yes  | Yes(2)|  Yes  | thegames |
| Games, The (NSM)                 |  Yes  |  Yes  |  Yes  |  Yes  | gamesnsm |
| Games, The (rev. 2 MOD)          |  Yes  |  Yes  | Yes(2)|  Yes  | thegamsc |
| Gemini 2000 (alternate set)      |  Yes  |  Yes  | Yes(2)|  Yes  | gemini1  |
| Gemini 2000                      |  Yes  |  Yes  | Yes(2)|  Yes  | gemini   |
| Genesis (French Free Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | genesffp |
| Genesis                          |  Yes  |  Yes  | Yes(2)|  Yes  | genesis  |
| Genesis (Free Play)              |  Yes  |  Yes  | Yes(2)|  Yes  | genesifp |
| Genesis (German Free Play)       |  Yes  |  Yes  | Yes(2)|  Yes  | genesgfp |
| Genesis (French)                 |  Yes  |  Yes  | Yes(2)|  Yes  | genesisf |
| Genesis (German)                 |  Yes  |  Yes  | Yes(2)|  Yes  | genesisg |
| Genie                            |  Yes  |  Yes  | Yes(2)|  Yes  | genie    |
| Getaway: High Speed II, The (P-7 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_p7    |
| Getaway: High Speed II, The (P-D |  Yes  |  Yes  | Yes(2)|  Yes  | gw_pd    |
| Getaway: High Speed II, The (P-8 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_p8    |
| Getaway: High Speed II, The (D-5 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d5    |
| Getaway: High Speed II, The (D-2 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d2    |
| Getaway: High Speed II, The (L-1)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l1    |
| Getaway: High Speed II, The (P-B |  Yes  |  Yes  | Yes(2)|  Yes  | gw_pb    |
| Getaway: High Speed II, The (L-3)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l3    |
| Getaway: High Speed II, The (D-1 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d1    |
| Getaway: High Speed II, The (D-3 |  Yes  |  Yes  | Yes(2)|  Yes  | gw_d3    |
| Getaway: High Speed II, The (L-2)|  Yes  |  Yes  | Yes(2)|  Yes  | gw_l2    |
